SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,player_name,season,player_id,season_type
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500212,2025-11-11T00:00:00,SAC vs. DEN,L,25.6,8,12,0.667,1,3,0.333,2,4,0.5,2,6,8,4,0,0,0,1,6,3,19,-18,34.6,0,0,32.0,1,3,3,3,11,2,7,1,1,2,3,7,4,7,9,10,10,5,11,9,3,5,11,6,4,8,9,10,1,9,1,25:36,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500197,2025-11-09T00:00:00,SAC vs. MIN,L,29.833333333333332,5,17,0.294,0,2,0.0,10,12,0.833,5,8,13,3,3,1,0,5,4,7,20,-19,40.1,1,0,38.0,1,3,3,3,9,7,2,11,5,3,5,1,1,2,2,7,4,6,3,4,3,11,5,2,3,9,6,1,1,4,1,29:50,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500162,2025-11-03T00:00:00,SAC @ DEN,L,36.86666666666667,5,10,0.5,0,0,0.0,3,4,0.75,4,13,17,5,2,1,0,2,3,4,13,-14,41.9,1,0,37.0,1,3,3,3,3,7,8,6,5,11,5,5,4,4,4,1,2,3,6,4,3,9,2,5,7,4,4,1,1,6,1,36:52,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500142,2025-11-01T00:00:00,SAC @ MIL,W,36.95,8,13,0.615,0,2,0.0,8,10,0.8,5,8,13,6,3,1,0,1,5,6,24,5,48.6,1,0,45.0,1,1,1,1,2,2,6,3,5,3,5,2,2,3,2,7,4,1,3,4,3,5,8,3,2,1,2,1,1,2,1,36:57,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500132,2025-10-29T00:00:00,SAC @ CHI,L,31.516666666666666,8,14,0.571,1,4,0.25,1,2,0.5,1,10,11,6,2,1,0,0,4,1,18,-21,41.2,1,0,38.0,1,3,3,3,7,2,4,5,1,1,4,8,8,7,10,3,8,1,6,4,3,1,5,9,5,10,5,1,1,4,1,31:31,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500126,2025-10-28T00:00:00,SAC @ OKC,L,35.2,5,15,0.333,0,2,0.0,0,0,0.0,6,12,18,3,5,1,1,3,4,1,10,-15,37.1,1,0,35.0,1,3,3,3,6,7,3,10,5,3,5,10,11,10,1,2,1,6,1,4,1,10,5,9,10,5,8,1,1,7,1,35:12,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500113,2025-10-26T00:00:00,SAC vs. LAL,L,30.5,4,8,0.5,1,2,0.5,1,2,0.5,4,10,14,3,2,3,0,0,5,1,10,0,38.3,1,0,34.0,1,3,3,3,8,10,11,6,1,3,1,8,8,7,4,3,3,6,6,1,3,1,8,9,10,2,7,1,1,8,1,30:30,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,0022500098,2025-10-24T00:00:00,SAC vs. UTA,W,36.63333333333333,6,9,0.667,0,1,0.0,0,1,0.0,3,9,12,1,2,0,0,0,3,2,12,-15,25.9,1,0,25.0,1,1,1,1,4,6,9,1,5,8,5,10,10,10,7,6,7,11,6,9,3,1,2,8,8,5,10,1,1,10,1,36:38,1,Domantas Sabonis,2025-26,1627734,Regular Season
2025-26,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,0022500463,2025-12-31T00:00:00,MIN @ ATL,L,28.45,3,6,0.5,0,0,0.0,0,0,0.0,4,7,11,3,1,1,0,0,1,0,6,-22,25.7,0,0,22.0,1,22,22,22,26,24,16,28,1,1,1,29,31,29,14,16,19,5,14,6,28,1,3,34,29,33,24,14,1,25,1,28:27,1,Rudy Gobert,2025-26,203497,Regular Season
2025-26,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,0022500452,2025-12-29T00:00:00,MIN @ CHI,W,29.616666666666667,4,5,0.8,0,0,0.0,1,4,0.25,0,10,10,1,0,1,4,1,2,4,9,14,37.5,0,0,30.0,1,1,1,1,23,15,25,10,1,1,1,20,12,26,34,5,20,19,25,6,3,22,9,16,19,8,11,14,1,13,1,29:37,1,Rudy Gobert,2025-26,203497,Regular Season
2025-26,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,0022500439,2025-12-27T00:00:00,MIN vs. BKN,L,31.433333333333334,2,6,0.333,0,0,0.0,2,4,0.5,4,4,8,0,0,2,1,0,2,6,6,-14,24.6,0,0,20.0,1,22,22,22,21,30,16,33,1,1,1,12,12,11,14,27,24,30,25,1,15,1,9,4,29,31,26,14,1,27,1,31:26,1,Rudy Gobert,2025-26,203497,Regular Season
2025-26,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,0022500013,2025-12-25T00:00:00,MIN @ DEN,L,33.98,4,7,0.571,0,0,0.0,1,2,0.5,5,7,12,0,0,0,6,2,6,2,9,18,41.4,0,0,33.0,1,22,22,22,13,15,11,27,1,1,1,20,22,11,8,16,11,30,25,16,1,34,32,27,19,6,9,14,1,10,1,33:59,1,Rudy Gobert,2025-26,203497,Regular Season
2025-26,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,0022500416,2025-12-23T00:00:00,MIN vs. NYK,W,37.75,4,6,0.667,0,0,0.0,3,4,0.75,6,10,16,2,1,2,3,1,2,4,11,10,47.2,1,0,39.0,1,1,1,1,5,15,16,19,1,1,1,5,12,3,4,5,3,12,14,1,5,22,9,16,14,10,6,1,1,6,1,37:45,1,Rudy Gobert,2025-26,203497,Regular Season
2025-26,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,0022500400,2025-12-21T00:00:00,MIN vs. MIL,W,39.291666666666664,5,7,0.714,0,0,0.0,1,4,0.25,6,12,18,3,0,1,1,1,2,3,11,-4,43.1,1,0,36.0,1,1,1,1,2,11,11,18,1,1,1,20,12,26,4,2,1,5,25,6,15,22,9,25,14,26,7,1,1,8,1,39:18,1,Rudy Gobert,2025-26,203497,Regular Season
2025-26,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,0022500385,2025-12-19T00:00:00,MIN vs. OKC,W,33.11833333333333,3,7,0.429,0,0,0.0,3,7,0.429,6,8,14,1,2,0,0,1,3,6,9,0,25.3,0,0,24.0,1,1,1,1,17,24,11,31,1,1,1,5,5,22,4,12,7,19,6,16,28,22,17,4,19,21,25,14,1,21,1,33:07,1,Rudy Gobert,2025-26,203497,Regular Season
2025-26,203497,Rudy Gobert,Rudy,1610612750,MIN,Minnesota Timberwolves,0022500368,2025-12-17T00:00:00,MIN vs. MEM,L,35.46666666666667,6,8,0.75,0,0,0.0,4,6,0.667,7,9,16,4,4,1,4,1,2,5,16,1,52.2,1,0,46.0,1,22,22,22,7,6,7,14,1,1,1,3,7,5,1,8,3,2,1,6,3,22,9,10,4,20,1,1,1,1,1,35:28,1,Rudy Gobert,2025-26,203497,Regular Season
